date,終値,始値,高値,close
2025-05-16,37753.72,37748.58,37786.43,37479.21
2025-05-19,37498.63,37572.36,37656.23,37445.93
2025-05-20,37529.49,37723.6,37921.81,37455.7
2025-05-21,37298.98,37590.15,37659.94,37298.98
2025-05-22,36985.87,36931.89,37100.45,36855.83
2025-05-23,37160.47,37161.74,37373.91,37111.63
2025-05-26,37531.53,37209.26,37531.53,37167.01
2025-05-27,37724.11,37523.37,37769.05,37411.68
2025-05-28,37722.4,38094.79,38178.73,37709.71
2025-05-29,38432.98,38046.97,38454.07,38035.32
2025-05-30,37965.1,37912.49,38114.47,37748.17
2025-06-02,37470.67,37651.18,37651.18,37320.72
2025-06-03,37446.81,37598.31,37729.45,37446.81
2025-06-04,37747.45,37686.66,37868.42,37672.47
2025-06-05,37554.49,37590.39,37732.88,37527.88
2025-06-06,37741.61,37590.44,37756.15,37590.42
2025-06-09,38088.57,38028.71,38178.01,38018.22
2025-06-10,38211.51,38278.17,38495.7,38139.1
2025-06-11,38421.19,38431.1,38529.64,38288.28
2025-06-12,38173.09,38324.93,38407.57,38102.05
2025-06-13,37834.25,38130.25,38141.59,37540.2
2025-06-16,38311.33,38056.86,38342.52,38055.52
2025-06-17,38536.74,38366.68,38581.25,38333.35
2025-06-18,38885.15,38364.16,38885.15,38364.16
2025-06-19,38488.34,38858.52,38870.55,38488.34
2025-06-20,38403.23,38472.25,38646.16,38362.54
2025-06-23,38354.09,38260.69,38368.22,38026.32
2025-06-24,38790.56,38779.18,38990.11,38665.61
2025-06-25,38942.07,38904.18,38944.77,38711.11
2025-06-26,39584.58,39072.14,39615.59,39056.14
2025-06-27,40150.79,39866.36,40267.84,39847.31
2025-06-30,40487.39,40550.79,40852.54,40322.54
2025-07-01,39986.33,40340.64,40345.87,39885.38
2025-07-02,39762.48,39631.17,39943.62,39444.7
2025-07-03,39785.9,39796.75,39865.89,39667.82
2025-07-04,39810.88,39994.64,40012.66,39693.4
2025-07-07,39587.68,39729.56,39829.38,39524.25
2025-07-08,39688.81,39542.07,39816.27,39510.48
2025-07-09,39821.28,39942.8,39971.06,39573.34
2025-07-10,39646.36,39795.75,39795.75,39530.95
2025-07-11,39569.68,39886.54,39957.8,39497.7
2025-07-14,39459.62,39416.1,39608.02,39288.9
2025-07-15,39678.02,39525.83,39678.02,39379.32
2025-07-16,39663.4,39734.74,39923.61,39520.96
2025-07-17,39901.19,39492.02,39910.96,39370.43
2025-07-18,39819.11,40072.39,40087.59,39745.42
2025-07-22,39774.92,39864.63,40275.89,39586.53
2025-07-23,41171.32,40189.18,41342.59,40087.86
2025-07-24,41826.34,41657.98,42065.83,41554.18
2025-07-25,41456.23,41760.58,41773.7,41389.79
2025-07-28,40998.27,41515.91,41534.21,40997.87
2025-07-29,40674.55,40767.77,40792.85,40563.53
2025-07-30,40654.7,40744.53,40744.53,40556.61
2025-07-31,41069.82,40693.0,41151.25,40639.32
2025-08-01,40799.6,41029.84,41064.73,40588.17
2025-08-04,40290.7,40118.81,40332.25,39850.52
2025-08-05,40549.54,40521.0,40649.38,40421.88
